iteration, x, y
1, 4.9, 3
2, 4.9, 2.9
3, 4.6000000000000005, 2.9
4, 4.6000000000000005, 2.5999999999999996
5, 3.7, 2.5999999999999996
6, 3.7, 1.6999999999999995
7, 1, 1.6999999999999995
8, 1, 1.0000000000000007
9, 1, 1.0000000000000007
10, 1, 1
11, 1, 1
12, 1, 1
13, 1.0250000000000004, 1
14, 1.0250000000000004, 1
15, 1.0250000000000004, 1
16, 1.0250000000000004, 1
17, 1.0250000000000004, 1
18, 1.0250000000000004, 1
19, 1.0250000000000004, 1
20, 1.0250000000000004, 1
21, 1.0250000000000004, 1
22, 1.0250000000000004, 0.9999999999999999
23, 1.0250000000000004, 0.9999999999999999
24, 1.0250000000000004, 0.9999999999999998
25, 1.0250000000000004, 0.9999999999999998
26, 1.0250000000000004, 1.0316406249999999
27, 1.0250000000000004, 1.0316406249999999
28, 1.0250000000000004, 1.0316406249999999
29, 1.0250000000000004, 1.0316406249999999
30, 1.0250000000000004, 1.0316406249999999
31, 1.0250000000000004, 1.0316406249999999
32, 1.0250000000000004, 1.0553710937499998
33, 1.0250000000000004, 1.0553710937499998
34, 1.0250000000000004, 1.0553710937499998
35, 1.0250000000000004, 1.0553710937499998
36, 1.0250000000000004, 1.0553710937499998
37, 1.0250000000000004, 1.0553710937499998
38, 1.0250000000000004, 1.0553710937499998
39, 1.0264831542968753, 1.0553710937499998
40, 1.0264831542968753, 1.0553710937499998
41, 1.0264831542968753, 1.0553710937499998
42, 1.0264831542968753, 1.0553710937499998
43, 1.0264831542968753, 1.0553710937499998
44, 1.0264831542968753, 1.0531463623046873
45, 1.0264831542968753, 1.0531463623046873
46, 1.0264831542968753, 1.0531463623046873
47, 1.0259269714355472, 1.0531463623046873
48, 1.0259269714355472, 1.0531463623046873
49, 1.0259269714355472, 1.0531463623046873
50, 1.0259269714355472, 1.0531463623046873
51, 1.0259269714355472, 1.0531463623046873
52, 1.0259269714355472, 1.0531463623046873
53, 1.0259269714355472, 1.0531463623046873
54, 1.0259269714355472, 1.0527292251586913
55, 1.0259269714355472, 1.0527292251586913
56, 1.0259269714355472, 1.0527292251586913
57, 1.0259269714355472, 1.0527292251586913
58, 1.0259269714355472, 1.0527292251586913
59, 1.0259791135787968, 1.0527292251586913
